"Visitors vs. Orders","Visitors vs. Orders"
"Conversion Overview","Conversion Overview"
funnel_from,funnel_from
funnel_to,funnel_to
"Products viewed:","Products viewed:"
"Added to cart:","Added to cart:"
"Unique visitors:","Unique visitors:"
"Orders placed:","Orders placed:"
"Congratulations! Your customers tend to place more than 1 order.","Congratulations! Your customers tend to place more than 1 order."
"Go to report","Go to report"
"Please kindly keep in mind that the current tab is displaying data from All Store Views","Please kindly keep in mind that the current tab is displaying data from All Store Views"
"Bestsellers (Last 30 days)","Bestsellers (Last 30 days)"
Name,Name
"Last Orders","Last Orders"
Order,Order
Customer,Customer
Status,Status
Date,Date
Items,Items
"Grand Total","Grand Total"
"Toggle menu","Toggle menu"
Views,Views
"Send catchy reminders to your customers using <a href=""%1"" target=""_blank"">Abandoned Cart Email extension</a> extension.","Send catchy reminders to your customers using <a href=""%1"" target=""_blank"">Abandoned Cart Email extension</a> extension."
"Create personal offer with <a href=""%1"" target=""_blank"">Custom Quote extension</a>.","Create personal offer with <a href=""%1"" target=""_blank"">Custom Quote extension</a>."
"To get more relevant and accurate results please refresh Amasty Customers Report statistics <a href=""%1"" target=""_blank"">here</a>.","To get more relevant and accurate results please refresh Amasty Customers Report statistics <a href=""%1"" target=""_blank"">here</a>."
"Analytic Graph","Analytic Graph"
Get,Get
Select,Select
"We couldn't find any records.","We couldn't find any records."
"Number Of Orders -","Number Of Orders -"
"Total -","Total -"
Accounts,Accounts
Reviews,Reviews
"New customers","New customers"
"Returning customers","Returning customers"
Interested,Interested
"Not interested","Not interested"
"Lost orders","Lost orders"
Abandoned,Abandoned
Ordered,Ordered
Image,Image
Print,Print
"Number of Abandoned Carts","Number of Abandoned Carts"
"This is a required field.","This is a required field."
Quotes,Quotes
Information,Information
General,General
"Order Status used in Sales Reports","Order Status used in Sales Reports"
"Please select an Order Status to be used in Sales Reports.","Please select an Order Status to be used in Sales Reports."
"Product Attribute used in Brands Report","Product Attribute used in Brands Report"
"Please choose an attribute to be used as Brand in Brands Report.","Please choose an attribute to be used as Brand in Brands Report."
"Email Sender","Email Sender"
"Email Template","Email Template"
"Amasty Reports","Amasty Reports"
"Indexed rule/product association","Indexed rule/product association"
"Indexed product/rule association","Indexed product/rule association"
Back,Back
"Choose Report","Choose Report"
"Store View","Store View"
"Report Time Interval","Report Time Interval"
"Display Period (if applicable)","Display Period (if applicable)"
"Email Receiver","Email Receiver"
"Comma separated Emails, no spaces.","Comma separated Emails, no spaces."
Frequency,Frequency
"Cron Schedule","Cron Schedule"
Minutes,Minutes
Hours,Hours
Days,Days
Months,Months
"Days of Week","Days of Week"
"
                                <a href='https://en.wikipedia.org/wiki/Cron' target='_blank'>Here</a> you may find more options.
                            ","
                                <a href='https://en.wikipedia.org/wiki/Cron' target='_blank'>Here</a> you may find more options.
                            "
"Create New Notification","Create New Notification"
"All Store Views","All Store Views"
ID,ID
"Notification Name","Notification Name"
Reports,Reports
"Store Views","Store Views"
Receiver,Receiver
"Report Interval","Report Interval"
"Custom Menu Item","Custom Menu Item"
Title,Title
"Last Updated","Last Updated"
"Pin in Custom Reports Tab","Pin in Custom Reports Tab"
"Add New Rule","Add New Rule"
"Delete items","Delete items"
"Are you sure to delete selected links?","Are you sure to delete selected links?"
Thumbnail,Thumbnail
"Number of Orders","Number of Orders"
Subtotal,Subtotal
Tax,Tax
Discounts,Discounts
Invoiced,Invoiced
"All Customer Groups","All Customer Groups"
"Number of orders","Number of orders"
"Quantity Sold","Quantity Sold"
"Quantity Ordered","Quantity Ordered"
"Quantity Cancelled","Quantity Cancelled"
"Quantity Refunded","Quantity Refunded"
Brand,Brand
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Order Number","Order Number"
"Date of Purchase","Date of Purchase"
"Items Quantity","Items Quantity"
"Coupon Code","Coupon Code"
"Abandoned Cart: Created At","Abandoned Cart: Created At"
"Abandoned Cart: Items Qty","Abandoned Cart: Items Qty"
"Abandoned Products","Abandoned Products"
"Abandoned Carts: Grand Total","Abandoned Carts: Grand Total"
Period,Period
Visitors,Visitors
"Orders Placed","Orders Placed"
"New Accounts","New Accounts"
"New Customers","New Customers"
"Returning Customers","Returning Customers"
"Percent of Returning","Percent of Returning"
"Cart Price Rule","Cart Price Rule"
Shipping,Shipping
"Order ID","Order ID"
"Order Status","Order Status"
"Order Date","Order Date"
"Payment Method","Payment Method"
"Product Name","Product Name"
"Original Price","Original Price"
Price,Price
"Qty Ordered","Qty Ordered"
"Row Total","Row Total"
Condition,Condition
Cost,Cost
Profit,Profit
CSV,CSV
"Excel XML","Excel XML"
"Number of Orders, %","Number of Orders, %"
"Items Ordered, %","Items Ordered, %"
"Subtotal, %","Subtotal, %"
"Tax, %","Tax, %"
"Shipping, %","Shipping, %"
"Discounts, %","Discounts, %"
"Total, %","Total, %"
"Invoiced, %","Invoiced, %"
"Refunded, %","Refunded, %"
"Quote Status","Quote Status"
"Number of Quotes","Number of Quotes"
"Items Quoted","Items Quoted"
"Discount Amount","Discount Amount"
State,State
"Day Of Week","Day Of Week"
